aardvark, ɑrdvɑrk, 'ɑrdˌvɑrk
ab, æb, æb
ab, ebi, 'e'bi
aback, əbæk, ə'bæk
abacus, æbəkəs, 'æ bə kəs
abalone, æbəloni, ˌæ bə'lo ni
abandon, əbændən, ə'bæn dən
abandoned, əbændənd, ə'bæn dənd
abandoning, əbændənɪŋ, ə'bæn də nɪŋ
abandonment, əbændənmənt, ə'bæn dən mənt
abandonments, əbændənmənts, ə'bæn dən mənts
abandons, əbændənz, ə'bæn dənz
abash, əbæʃ, ə'bæʃ
abashed, əbæʃt, ə'bæʃt
abate, əbet, ə'bet
abated, əbetɪd, ə'be tɪd
abatement, əbetmənt, ə'bet mənt
abatements, əbetmənts, ə'bet mənts
abates, əbets, ə'bets
abating, əbetɪŋ, ə'be tɪŋ
abba, æbə, 'æ bə
abbas, əbɑs, ə'bɑs
abbe, æbi, 'æ bi
abbe, æbe, æ'be
abbey, æbi, 'æ bi
abbot, æbət, 'æ bət
abbreviate, əbriviet, ə'bri viˌet
abbreviated, əbrivietəd, ə'bri viˌe təd
abbreviated, əbrivietɪd, ə'bri viˌe tɪd
abbreviates, əbriviets, ə'bri viˌets
abbreviating, əbrivietɪŋ, ə'bri viˌe tɪŋ
abbreviation, əbrivieʃən, əˌbri vi'e ʃən
abbreviations, əbrivieʃənz, əˌbri vi'e ʃənz
abdicate, æbdəket, 'æb dəˌket
abdicated, æbdəketəd, 'æb dəˌke təd
abdicates, æbdəkets, 'æb dəˌkets
abdicating, æbdɪketɪŋ, 'æb dɪˌke tɪŋ
abdication, æbdɪkeʃən, ˌæb dɪ'ke ʃən
abdomen, æbdomən, æb'do mən
abdomen, æbdəmən, 'æb də mən
abdominal, æbdɑmənəl, æb'dɑ mə nəl
abdominal, əbdɑmənəl, əb'dɑ mə nəl
abduct, æbdʌkt, æb'dʌkt
abducted, æbdʌktɪd, æb'dʌk tɪd
abducted, əbdʌktɪd, əb'dʌk tɪd
abducting, æbdʌktɪŋ, æb'dʌk tɪŋ
abducting, əbdʌktɪŋ, əb'dʌk tɪŋ
abduction, æbdʌkʃən, æb'dʌk ʃən
abduction, əbdʌkʃən, əb'dʌk ʃən
abductions, æbdʌkʃənz, æb'dʌk ʃənz
abductions, əbdʌkʃənz, əb'dʌk ʃənz
abductor, æbdʌktər, æb'dʌk tər
abductor, əbdʌktər, əb'dʌk tər
abductors, æbdʌktərz, æb'dʌk tərz
abductors, əbdʌktərz, əb'dʌk tərz
abducts, æbdʌkts, æb'dʌkts
abed, əbɛd, ə'bɛd
abele, əbil, ə'bil
abeles, əbilz, ə'bilz
abeles, ebəliz, 'e bəˌliz
aberrant, æbɛrənt, æ'bɛ rənt
aberration, æbəreʃən, ˌæ bə're ʃən
aberrational, æbəreʃənəl, ˌæ bə're ʃə nəl
aberrations, æbəreʃənz, ˌæ bə're ʃənz
abet, əbɛt, ə'bɛt
abetted, əbɛtɪd, ə'bɛ tɪd
abetting, əbɛtɪŋ, ə'bɛ tɪŋ
abeyance, əbeəns, ə'beəns
abhor, æbhɔr, æb'hɔr
abhorred, əbhɔrd, əb'hɔrd
abhorrence, əbhɔrəns, əb'hɔ rəns
abhorrent, æbhɔrənt, æb'hɔ rənt
abhors, əbhɔrz, əb'hɔrz
abide, əbaɪd, ə'baɪd
abided, əbaɪdɪd, ə'baɪ dɪd
abides, əbaɪdz, ə'baɪdz
abiding, əbaɪdɪŋ, ə'baɪ dɪŋ
abigail, æbəgel, 'æ bəˌgel
